element1,element2,min_charge1,max_charge1,min_charge2,max_charge2,A,rho,C
O,O,-2,-2,-2,-2,22764.0,0.149,27.88
O,Si,-2,-2,4,4,340.554,0.200,1.00
O,Al,-2,-2,3,3,1725.0,0.2897,0.0
O,Mg,-2,-2,2,2,1284.38,0.2997,0.0
O,Ca,-2,-2,2,2,2000.0,0.300,0.0
O,Sr,-2,-2,2,2,1455.2,0.3585,0.0
O,Ti,-2,-2,4,4,3147.6,0.2870,0.0
O,Zr,-2,-2,4,4,7290.347,0.2610,0.0
O,Y,-2,-2,3,3,23000.0,0.24203,0.0
N,Ga,-3,-3,3,3,1092.0,0.320,0.0
S,Zn,-2,-2,2,2,613.356,0.3990,0.0
C,C,0,0,0,0,3500.0,0.180,35.0
O,H,-2,-2,1,1,311.22,0.320,0.0
N,O,-3,-3,-2,-2,5830.5,0.210,25.0
C,O,0,0,-2,-2,1800.0,0.250,30.0
C,H,0,0,1,1,420.0,0.280,0.0
N,H,-3,-3,1,1,380.0,0.310,0.0
Si,Si,4,4,4,4,1280.0,0.195,10.0
Al,Al,3,3,3,3,2800.0,0.275,0.0
Mg,Mg,2,2,2,2,1050.0,0.315,0.0
Ca,Ca,2,2,2,2,1800.0,0.330,0.0
Ti,Ti,4,4,4,4,4500.0,0.265,0.0
Fe,O,3,3,-2,-2,1342.0,0.310,0.0
Fe,Fe,3,3,3,3,3200.0,0.290,0.0
Na,Cl,1,1,-1,-1,1275.0,0.317,0.0
K,Cl,1,1,-1,-1,1050.0,0.330,0.0
Si,C,4,4,0,0,950.0,0.230,15.0
Al,Si,3,3,4,4,1200.0,0.270,0.0
Mg,O,2,2,-2,-2,1284.38,0.2997,0.0
Ca,O,2,2,-2,-2,2000.0,0.300,0.0
O,Fe,-2,-2,3,3,1342.0,0.310,0.0
N,N,-3,-3,-3,-3,8500.0,0.180,40.0
C,N,0,0,-3,-3,2200.0,0.220,25.0
H,H,1,1,1,1,150.0,0.350,0.0
O,Na,-2,-2,1,1,920.0,0.290,0.0
O,K,-2,-2,1,1,850.0,0.310,0.0
Si,Al,4,4,3,3,1200.0,0.270,0.0
Ti,O,4,4,-2,-2,3147.6,0.2870,0.0
Zr,O,4,4,-2,-2,7290.347,0.2610,0.0
Y,O,3,3,-2,-2,23000.0,0.24203,0.0
Ga,N,3,3,-3,-3,1092.0,0.320,0.0
Zn,S,2,2,-2,-2,613.356,0.3990,0.0
C,Si,0,0,4,4,950.0,0.230,15.0
Al,O,3,3,-2,-2,1725.0,0.2897,0.0
Fe,S,3,3,-2,-2,1450.0,0.305,0.0
Cu,O,2,2,-2,-2,1850.0,0.280,0.0
Ni,O,2,2,-2,-2,1950.0,0.275,0.0
Zn,O,2,2,-2,-2,1650.0,0.295,0.0
Pb,O,2,2,-2,-2,2200.0,0.320,0.0
Sn,O,4,4,-2,-2,1800.0,0.310,0.0
